iter	Logloss
0	0.673922953
1	0.6564363799
2	0.641424165
3	0.6269145179
4	0.6141279358
5	0.6010061607
6	0.5824708063
7	0.5705655817
8	0.5574185833
9	0.5490781782
10	0.5426399597
11	0.533092429
12	0.526576331
13	0.5129068798
14	0.5013858617
15	0.4963463847
16	0.4918055405
17	0.4860906961
18	0.4803062383
19	0.473903323
20	0.4695327302
21	0.4660519476
22	0.4612571058
23	0.4562447766
24	0.4533783199
25	0.4503320768
26	0.4473800757
27	0.4410597583
28	0.4381105002
29	0.4354953807
30	0.433234718
31	0.429241259
32	0.4237251007
33	0.4208979847
34	0.418952383
35	0.4153122296
36	0.4137686432
37	0.4115624687
38	0.4099716801
39	0.4078751094
40	0.4062146938
41	0.4012382236
42	0.3989214306
43	0.3973812294
44	0.3947689654
45	0.3937435794
46	0.3905888953
47	0.3891127912
48	0.3864625096
49	0.380992132
50	0.3787012366
51	0.3754487396
52	0.3718071663
53	0.3699072393
54	0.3673879657
55	0.3652828353
56	0.3638457048
57	0.3625535973
58	0.3611012183
59	0.3599423147
60	0.3592385595
61	0.3581073676
62	0.3575845008
63	0.3564196003
64	0.3537954105
65	0.3518118018
66	0.3498946585
67	0.3485626108
68	0.3478715192
69	0.3465951609
70	0.3437431553
71	0.342601655
72	0.3417701356
73	0.3407349195
74	0.3403279678
75	0.3398385746
76	0.3393802686
77	0.3381152541
78	0.337663944
79	0.3356646174
80	0.3351429426
81	0.3340248584
82	0.3332273754
83	0.3328723674
84	0.3324729608
85	0.3315532953
86	0.3311332025
87	0.3308209743
88	0.3304769013
89	0.3301732984
90	0.3297362795
91	0.3282527052
92	0.3279306569
93	0.327605705
94	0.3270154352
95	0.3263778279
96	0.3260956333
97	0.3255948346
98	0.3239829766
99	0.3235900341
100	0.3228828659
101	0.3226502684
102	0.3223847584
103	0.3217142742
104	0.3209920241
105	0.3194718413
106	0.3190763649
107	0.3185182795
108	0.3182101762
109	0.3176804999
110	0.3171162598
111	0.316865055
112	0.3166134478
113	0.3163951408
114	0.3156665383
115	0.3150517572
116	0.3140601158
117	0.3137036295
118	0.3124367595
